Cost Center,L2,L3,Entity,CostBucket,Period,MKT Total Cost,MKT Internal Cost,Manual adjustment,MKT External Cost,Chargeable total cost,Chargeable external cost,Chargeable internal cost,Chargeable internal cost + Markup,Total non chargeable cost,Total cost Post Markup,Dell/EMC,Dell,EMC
U010001438,L2 Mktg BU Mktg,L3 Mktg CSG Pan Dell MSGNG,U010,CORPORATE MKT OTHER,Q4 FY25,-2403174,-1658190.06,0,-744983.94,-1009333.08,-312893.2548,-696439.8252,-766083.8077,-1393840.92,-1775416.888,EMC,-1725113.409,-515293.6157
U010001439,L2 Mktg BU Mktg,L3 Mktg CSG Pan Dell MSGNG,U010,CORPORATE MKT OTHER,Q4 FY25,6506714,195201.42,1000000,6311512.58,4804296.96,4660168.051,144128.9088,158541.7997,2702417.04,4962838.76,EMC,4698412.507,1737769.009
U010001440,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q4 FY25,2198925,0,0,2198925,1913064.75,1913064.75,0,0,285860.25,1913064.75,EMC,97852.1625,12094.0875
U010001443,L2 Mktg Online,L3 Mktg CSB GLB,U010,SBU MKT CS,Q4 FY25,-2946246,-1119573.48,0,-1826672.52,-88387.38,-54800.1756,-33587.2044,-36945.92484,-2857858.62,-125333.3048,EMC,-533084.3233,-1890026.237
U010001444,L2 Mktg Glb SB GDC,L3 Mktg GFP CGM,U010,CORPORATE MKT OTHER,Q4 FY25,-8128174,-2926142.64,0,-5202031.36,-1300507.84,-832325.0176,-468182.8224,-515001.1046,-6827666.16,-1815508.945,EMC,-5679138.917,-1696366.17
U010001445,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,CORPORATE MKT OTHER,Q4 FY25,-7314852,-292594.08,0,-7022257.92,-7095406.44,-6811590.182,-283816.2576,-312197.8834,-219445.56,-7407604.323,EMC,-50402.25622,-1629672.951
U010001446,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,CORPORATE MKT OTHER,Q4 FY25,-8195776,-1803070.72,0,-6392705.28,-6146832,-4794528.96,-1352303.04,-1487533.344,-2048944,-7634365.344,EMC,-3546417.181,-1746742.791
U010001447,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,CORPORATE MKT OTHER,Q4 FY25,2807100,1964970,0,842130,2245680,673704,1571976,1729173.6,561420,3974853.6,EMC,645913.71,645913.71
U010001448,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,CORPORATE MKT OTHER,Q4 FY25,5239831,3353491.84,0,1886339.16,3615483.39,1301574.02,2313909.37,2545300.307,1624347.61,6160783.697,EMC,678579.0738,1017868.611
U010001451,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,CORPORATE MKT OTHER,Q4 FY25,-9687665,-3778189.35,0,-5909475.65,-968766.5,-590947.565,-377818.935,-415600.8285,-8718898.5,-1384367.329,EMC,-6142437.837,-5901557.921
U010001452,L2 Mktg Central,L3 Mktg Central,U010,CORPORATE MKT OTHER,Q4 FY25,-2700253,-351032.89,0,-2349220.11,-1647154.33,-1433024.267,-214130.0629,-235543.0692,-1053098.67,-1882697.399,EMC,-143517.0968,-813263.5487
U010001455,L2 Mktg Field Partner APJC,L3 Mktg FP Central APJC,U010,CORPORATE MKT OTHER,Q4 FY25,8864950,5230320.5,0,3634629.5,4964372,2035392.52,2928979.48,3221877.428,3900578,8186249.428,EMC,5633893.803,6353114.288
U010001457,L2 Mktg Brand,L3 Mktg Brand,U010,CORPORATE MKT,Q4 FY25,752035,421139.6,0,330895.4,533944.85,234935.734,299009.116,328910.0276,218090.15,862854.8776,EMC,214863.0174,611533.2034
U010001462,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q4 FY25,-4245853,-3608975.05,0,-636877.95,-467043.83,-70056.5745,-396987.2555,-436685.9811,-3778809.17,-903729.8111,EMC,-1577419.307,-1051612.871
U010001463,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q4 FY25,0,0,0,0,0,0,0,0,0,0,EMC,0,0
U010001464,L2 Mktg BU Mktg,L3 Mktg GFP Partner,U010,CORPORATE MKT OTHER,Q4 FY25,5810542,2208005.96,0,3602536.04,3312008.94,2053445.543,1258563.397,1384419.737,2498533.06,4696428.677,EMC,2188370.976,4650288.325
U010001465,L2 Mktg BU Mktg,L3 Mktg GFP Partner,U010,CORPORATE MKT OTHER,Q4 FY25,7355570,3236450.8,0,4119119.2,4045563.5,2265515.56,1780047.94,1958052.734,3310006.5,6003616.234,EMC,4147953.034,6767712.846
U010001468,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q4 FY25,-3341551,-3241304.47,0,-100246.53,-233908.57,-7017.2571,-226891.3129,-249580.4442,-3107642.43,-483489.0142,EMC,-1023615.313,-772201.0255
U010001471,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,CORPORATE MKT OTHER,Q4 FY25,9953527,9754456.46,0,199070.54,8659568.49,173191.3698,8486377.12,9335014.832,1293958.51,17994583.32,EMC,7992077.007,694963.218
U010001472,L2 Mktg BU Mktg,L3 Mktg GFP Partner,U010,CORPORATE MKT OTHER,Q4 FY25,-1119279,-693952.98,0,-425326.02,-78349.53,-29772.8214,-48576.7086,-53434.37946,-1040929.47,-131783.9095,EMC,-330401.0873,-177908.2778
U010001473,L2 Mktg Brand,L3 Mktg Brand Dell Blue,U010,CORPORATE MKT,Q4 FY25,-6233392,-436337.44,0,-5797054.56,-561005.28,-521734.9104,-39270.3696,-43197.40656,-5672386.72,-604202.6866,EMC,-870051.8686,-4567772.31
U010001474,L2 Mktg BU Mktg,L3 Mktg Strategy Ops SSvs,U010,CORPORATE MKT OTHER,Q4 FY25,7027925,4849268.25,0,2178656.75,6535970.25,2026150.778,4509819.473,4960801.42,491954.75,11496771.67,EMC,7231840.244,803537.8049
U010001476,L2 Mktg Glb SB GDC,L3 Mktg CDMT,U010,CORPORATE MKT OTHER,Q4 FY25,1035872,580088.32,0,455783.68,725110.4,319048.576,406061.824,446668.0064,310761.6,1171778.406,EMC,585219.6155,686996.94
U010001479,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q4 FY25,2464066,2414784.68,0,49281.32,2193018.74,43860.3748,2149158.365,2364074.202,271047.26,4557092.942,EMC,442396.4384,1196108.889
U010001480,L2 Mktg Corp Affairs,L3 Mktg Social Business,U010,CORPORATE MKT OTHER,Q4 FY25,-5874060,-1644736.8,0,-4229323.2,-1116071.4,-803571.408,-312499.992,-343749.9912,-4757988.6,-1459821.391,EMC,-2345702.478,-958103.8289
U010001481,L2 Mktg Brand,L3 Mktg Experiential,U010,CORPORATE MKT,Q4 FY25,-6409152,-3460942.08,0,-2948209.92,-4294131.84,-1975300.646,-2318831.194,-2550714.313,-2115020.16,-6844846.153,EMC,-2084102.411,-4045610.562
U010001482,L2 Mktg Central,L3 Mktg Central,U010,CORPORATE MKT OTHER,Q4 FY25,2534985,1318192.2,0,1216792.8,1571690.7,754411.536,817279.164,899007.0804,963294.3,2470697.78,EMC,1161227.957,711720.3606
U010001483,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,CORPORATE MKT OTHER,Q4 FY25,-7375058,-3023773.78,0,-4351284.22,-737505.8,-435128.422,-302377.378,-332615.1158,-6637552.2,-1070120.916,EMC,-26753.0229,-80259.06869
U010001484,L2 Mktg BU Mktg,L3 Mktg CSG Pan Dell MSGNG,U010,CORPORATE MKT OTHER,Q4 FY25,-5825595,-5476059.3,0,-349535.7,-1922446.35,-115346.781,-1807099.569,-1987809.526,-3903148.65,-3910255.876,EMC,-274902.8373,-6597668.096
U010001486,L2 Mktg BU Mktg,L3 Mktg GFP Partner,U010,CORPORATE MKT OTHER,Q4 FY25,5346292,2566220.16,0,2780071.84,641555.04,333608.6208,307946.4192,338741.0611,4704736.96,980296.1011,EMC,796490.5822,265496.8607
U010001489,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q4 FY25,8725253,785272.77,0,7939980.23,174505.06,158799.6046,15705.4554,17276.00094,8550747.94,191781.0609,EMC,224383.8413,638630.9329
U010001490,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q4 FY25,-3800651,-1900325.5,0,-1900325.5,-3534605.43,-1767302.715,-1767302.715,-1944032.987,-266045.57,-5478638.417,EMC,-524888.9064,-123122.0891
U010001491,L2 Mktg Brand,L3 Mktg Campaigns,U010,SBU MKT CS,Q4 FY25,5198320,3378908,0,1819412,3690807.2,1291782.52,2399024.68,2638927.148,1507512.8,6329734.348,EMC,7132095.04,0
U010001493,L2 Mktg Brand,L3 Mktg Experiential,U010,CORPORATE MKT,Q4 FY25,-4032148,-1532216.24,0,-2499931.76,-1209644.4,-749979.528,-459664.872,-505631.3592,-2822503.6,-1715275.759,EMC,-1516303.771,-1456840.878
U010001494,L2 Mktg Brand,L3 Mktg Experiential,U010,CORPORATE MKT OTHER,Q4 FY25,785322,62825.76,0,722496.24,125651.52,115599.3984,10052.1216,11057.33376,659670.48,136708.8538,EMC,349376.5644,52205.69353
U010001495,L2 Mktg BU Mktg,L3 Mktg GFP Partner,U010,SBU MKT CS,Q4 FY25,-5569315,-2728964.35,0,-2840350.65,-1002476.7,-511263.117,-491213.583,-540334.9413,-4566838.3,-1542811.641,EMC,-2072510.305,-3241618.682
U010001496,L2 Mktg Glb SB GDC,L3 Mktg GFP GBICP,U010,CORPORATE MKT OTHER,Q4 FY25,0,0,0,0,0,0,0,0,0,0,EMC,0,0
U010001497,L2 Mktg Brand,L3 Mktg Experiential,U010,CORPORATE MKT,Q4 FY25,6950652,6881145.48,0,69506.52,6533612.88,65336.1288,6468276.751,7115104.426,417039.12,13648717.31,EMC,1406979.476,1061405.569
U010001500,L2 Mktg Glb SB GDC,L3 Mktg CDMT,U010,CORPORATE MKT OTHER,Q4 FY25,6423086,578077.74,0,5845008.26,3275773.86,2980954.213,294819.6474,324301.6121,3147312.14,3600075.472,EMC,2886413.452,3254891.765
U010001503,L2 Mktg Glb SB GDC,L3 Mktg GFP GBICP,U010,CORPORATE MKT OTHER,Q4 FY25,2869586,1377401.28,0,1492184.72,2094797.78,1089294.846,1005502.934,1106053.228,774788.22,3200851.008,EMC,305177.0276,2237964.869
U010001504,L2 Mktg Glb SB GDC,L3 Mktg CDMT,U010,CORPORATE MKT OTHER,Q4 FY25,5902539,5548386.66,0,354152.34,2538091.77,152285.5062,2385806.264,2624386.89,3364447.23,5162478.66,EMC,184888.7706,1135745.305
U010001506,L2 Mktg Corp Affairs,L3 Mktg Corp BU PR,U010,CORPORATE MKT OTHER,Q4 FY25,9720846,3110670.72,0,6610175.28,9526429.08,6477971.774,3048457.306,3353303.036,194416.92,12879732.12,EMC,1403627.949,10293271.63
U010001507,L2 Mktg Corp Affairs,L3 Mktg Intl GTMPart Comms,U010,CORPORATE MKT OTHER,Q4 FY25,2806973,729812.98,0,2077160.02,392976.22,290802.4028,102173.8172,112391.1989,2413996.78,505367.4189,EMC,1387233.565,886919.8202
U010001508,L2 Mktg Corp Affairs,L3 Mktg Exec Internal Comm,U010,CORPORATE MKT OTHER,Q4 FY25,2978115,2710084.65,0,268030.35,387154.95,34843.9455,352311.0045,387542.105,2590960.05,774697.055,EMC,1787762.435,4171445.681
U010001509,L2 Mktg Corp Affairs,L3 Mktg Intl GTMPart Comms,U010,CORPORATE MKT OTHER,Q4 FY25,-986108,-177499.44,0,-808608.56,-463470.76,-380046.0232,-83424.7368,-91767.21048,-522637.24,-555237.9705,EMC,-4725.429536,-231546.0473
U010001510,L2 Mktg Corp Affairs,L3 Mktg Chairman Comms,U010,CORPORATE MKT OTHER,Q4 FY25,5446474,5392009.26,0,54464.74,2178589.6,21785.896,2156803.704,2372484.074,3267884.4,4551073.674,EMC,2011574.564,5725250.682
U010001511,L2 Mktg BU Mktg,L3 Mktg Insights,U010,CORPORATE MKT,Q4 FY25,-8523512,-2386583.36,0,-6136928.64,-2983229.2,-2147925.024,-835304.176,-918834.5936,-5540282.8,-3902063.794,EMC,-1079199.358,-147163.5488
U010001512,L2 Mktg Corp Affairs,L3 Mktg Corp BU PR,U010,CORPORATE MKT OTHER,Q4 FY25,-3026081,-1785387.79,0,-1240693.21,-2541908.04,-1042182.296,-1499725.744,-1649698.318,-484172.96,-4191606.358,EMC,-3075840.666,-267464.4057
U010001515,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,CORPORATE MKT OTHER,Q4 FY25,3106123,1366694.12,0,1739428.88,745469.52,417462.9312,328006.5888,360807.2477,2360653.48,1106276.768,EMC,277491.0892,367837.0253
U010001517,L2 Mktg Central,L3 Mktg Development,U010,CORPORATE MKT OTHER,Q4 FY25,9280848,7888720.8,0,1392127.2,4547615.52,682142.328,3865473.192,4252020.511,4733232.48,8799636.031,EMC,5813147.313,1190644.63
U010001518,L2 Mktg BU Mktg,L3 Mktg Strategy Ops SSvs,U010,CORPORATE MKT OTHER,Q4 FY25,3870853,2283803.27,0,1587049.73,3406350.64,1396603.762,2009746.878,2210721.565,464502.36,5617072.205,EMC,4611743.941,813837.1661
U010001526,L2 Mktg BU Mktg,L3 Mktg Services DFS Mktg,U010,CORPORATE MKT OTHER,Q4 FY25,-7204271,-1873110.46,0,-5331160.54,-6627929.32,-4904667.697,-1723261.623,-1895587.786,-576341.68,-8523517.106,EMC,-44470.52403,-48176.40103
U010001528,L2 Mktg BU Mktg,L3 Mktg CSG Pan Dell MSGNG,U010,CORPORATE MKT OTHER,Q4 FY25,8514912,4002008.64,0,4512903.36,5108947.2,2707742.016,2401205.184,2641325.702,3405964.8,7750272.902,EMC,2790098.245,3022606.432
U010001531,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,CORPORATE MKT OTHER,Q4 FY25,-324797,-103935.04,0,-220861.96,-295565.27,-200984.3836,-94580.8864,-104038.975,-29231.73,-399604.245,EMC,-99066.72273,-111713.5384
U010001532,L2 Mktg BU Mktg,L3 Mktg Insights,U010,CORPORATE MKT OTHER,Q4 FY25,9532653,2097183.66,0,7435469.34,953265.3,743546.934,209718.366,230690.2026,8579387.7,1183955.503,EMC,1367468.606,408464.6484
U010001534,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,CORPORATE MKT OTHER,Q4 FY25,4881654,4588754.76,0,292899.24,3661240.5,219674.43,3441566.07,3785722.677,1220413.5,7446963.177,EMC,389227.9421,2390971.644
U010001537,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,CORPORATE MKT OTHER,Q4 FY25,773422,363508.34,0,409913.66,734750.9,389417.977,345332.923,379866.2153,38671.1,1114617.115,EMC,341894.1341,385540.1938
U010001538,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,CORPORATE MKT OTHER,Q4 FY25,0,0,0,0,0,0,0,0,0,0,EMC,0,0
U010001540,L2 Mktg Brand,L3 Mktg Campaigns,U010,CORPORATE MKT,Q4 FY25,8758596,5605501.44,0,3153094.56,8145494.28,2932377.941,5213116.339,5734427.973,613101.72,13879922.25,EMC,5217656.795,6125075.368
U010001541,L2 Mktg BU Mktg,L3 Mktg A PM,U010,CORPORATE MKT OTHER,Q4 FY25,7219049,3609524.5,0,3609524.5,505333.43,252666.715,252666.715,277933.3865,6713715.57,783266.8165,EMC,5317262.731,725081.2816
U010001542,L2 Mktg Central,L3 Mktg Development,U010,CORPORATE MKT OTHER,Q4 FY25,-4285489,-1457066.26,0,-2828422.74,-214274.45,-141421.137,-72853.313,-80138.6443,-4071214.55,-294413.0943,EMC,-1316615.358,-3747289.864
U010001545,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,SBU MKT CS,Q4 FY25,9745199,8673227.11,0,1071971.89,8380871.14,921895.8254,7458975.315,8204872.846,1364327.86,16585743.99,EMC,14865455.19,948858.842
U010001547,L2 Mktg BU Mktg,L3 Mktg Events,U010,CORPORATE MKT OTHER,Q4 FY25,-8917669,-3567067.6,0,-5350601.4,-2496947.32,-1498168.392,-998778.928,-1098656.821,-6420721.68,-3595604.141,EMC,-809010.9317,-4584395.28
U010001548,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q4 FY25,-4463479,-2410278.66,0,-2053200.34,-133904.37,-61596.0102,-72308.3598,-79539.19578,-4329574.63,-213443.5658,EMC,-973302.66,-307358.7347
U010001549,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q4 FY25,5588047,4023393.84,0,1564653.16,4973361.83,1392541.312,3580820.518,3938902.569,614685.17,8912264.399,EMC,3106274.625,6306678.785
U010001550,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q4 FY25,9280204,4083289.76,0,5196914.24,2041644.88,1143321.133,898323.7472,988156.1219,7238559.12,3029801.002,EMC,917203.3942,9273945.43
U010001551,L2 Mktg Corp Affairs,L3 Mktg Social Business,U010,CORPORATE MKT OTHER,Q4 FY25,-4561041,-1778805.99,0,-2782235.01,-2417351.73,-1474584.555,-942767.1747,-1037043.892,-2143689.27,-3454395.622,EMC,-54748.91175,-401492.0195
U010001553,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q4 FY25,9999154,4299636.22,0,5699517.78,4099653.14,2336802.29,1762850.85,1939135.935,5899500.86,6038789.075,EMC,7598564.107,2269700.967
U010001559,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q4 FY25,522658,303141.64,0,219516.36,94078.44,39512.9448,54565.4952,60022.04472,428579.56,154100.4847,EMC,624963.0769,0
U010001564,L2 Mktg BU Mktg,L3 Mktg CSG Pan Dell MSGNG,U010,CORPORATE MKT OTHER,Q4 FY25,7635961,7101443.73,0,534517.27,5039734.26,352781.3982,4686952.862,5155648.148,2596226.74,10195382.41,EMC,3784649.53,11353948.59
U010001566,L2 Mktg BU Mktg,L3 Mktg Analyst Relations,U010,CORPORATE MKT OTHER,Q4 FY25,9928060,9431657,0,496403,1687770.2,84388.51,1603381.69,1763719.859,8240289.8,3451490.059,EMC,2740889.165,913629.7215
U010001567,L2 Mktg Brand,L3 Mktg Digital,U010,CORPORATE MKT,Q4 FY25,-2699101,-1268577.47,0,-1430523.53,-2186271.81,-1158724.059,-1027547.751,-1130302.526,-512829.19,-3316574.336,EMC,-442209.9114,-1768839.646
U010001568,L2 Mktg Glb SB GDC,L3 Mktg CDMT,U010,CORPORATE MKT OTHER,Q4 FY25,-6832462,-1844764.74,0,-4987697.26,-6695812.76,-4887943.315,-1807869.445,-1988656.39,-136649.24,-8684469.15,EMC,-251672.3713,-102795.7573
U010001570,L2 Mktg Corp Affairs,L3 Mktg Intl GTMPart Comms,U010,CORPORATE MKT OTHER,Q4 FY25,-9671950,-967195,0,-8704755,-4449097,-4004187.3,-444909.7,-489400.67,-5222853,-4938497.67,EMC,-4296492.973,-5043709.142
U010001571,L2 Mktg BU Mktg,L3 Mktg GFP Partner,U010,CORPORATE MKT OTHER,Q4 FY25,8256558,2642098.56,0,5614459.44,2807229.72,1908916.21,898313.5104,988144.8614,5449328.28,3795374.581,EMC,4855846.891,3516302.921
U010001572,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q4 FY25,-8828025,-88280.25,0,-8739744.75,-7062420,-6991795.8,-70624.2,-77686.62,-1765605,-7140106.62,EMC,-3322827.118,-3192520.172
U010001574,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,CORPORATE MKT OTHER,Q4 FY25,7849619,7300145.67,0,549473.33,7143153.29,500020.7303,6643132.56,7307445.816,706465.71,14450599.11,EMC,928967.0854,5264146.817
U010001575,L2 Mktg BU Mktg,L3 Mktg Strategy Ops SSvs,U010,CORPORATE MKT OTHER,Q4 FY25,-7324161,-73241.61,0,-7250919.39,-1977523.47,-1957748.235,-19775.2347,-21752.75817,-5346637.53,-1999276.228,EMC,-955209.7535,-1266208.278
U010001577,L2 Mktg Glb SB GDC,L3 Mktg GFP GBICP,U010,CORPORATE MKT OTHER,Q4 FY25,-287263,0,0,-287263,-117777.83,-117777.83,0,0,-169485.17,-117777.83,EMC,-194419.5984,-75607.6216
U010001582,L2 Mktg Glb SB GDC,L3 Mktg CDMT,U010,CORPORATE MKT OTHER,Q4 FY25,0,0,0,0,0,0,0,0,0,0,EMC,0,0
U010001586,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q4 FY25,-2729203,-846052.93,0,-1883150.07,-27292.03,-18831.5007,-8460.5293,-9306.58223,-2701910.97,-36598.61223,EMC,-222885.5485,-2961193.716
U010001589,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q4 FY25,4049395,3603961.55,0,445433.45,3806431.3,418707.443,3387723.857,3726496.243,242963.7,7532927.543,EMC,2824847.829,3185466.7
U010001590,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q4 FY25,1483347,519171.45,0,964175.55,178001.64,115701.066,62300.574,68530.6314,1305345.36,246532.2714,EMC,1390442.011,540727.4486
U010001594,L2 Mktg BU Mktg,L3 Mktg CSG Pan Dell MSGNG,U010,CORPORATE MKT OTHER,Q4 FY25,9226671,5905069.44,0,3321601.56,3782935.11,1361856.64,2421078.47,2663186.317,5443735.89,6446121.427,EMC,4386507.02,2688504.303
U010001595,L2 Mktg BU Mktg,L3 Mktg Insights,U010,CORPORATE MKT OTHER,Q4 FY25,-6168021,-616802.1,0,-5551218.9,-6044660.58,-5440194.522,-604466.058,-664912.6638,-123360.42,-6709573.244,EMC,-3043955.372,-2296317.21
U010001596,L2 Mktg BU Mktg,L3 Mktg Insights,U010,CORPORATE MKT OTHER,Q4 FY25,-1937188,-832990.84,0,-1104197.16,-464925.12,-265007.3184,-199917.8016,-219909.5818,-1472262.88,-684834.7018,EMC,-2233131.823,-220859.1913
U010001597,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q4 FY25,0,0,0,0,0,0,0,0,0,0,EMC,0,0
U099999995,L2 test,L3 test,U010,SBU MKT ISG,Q4 FY25,10000000,1900000,0,8100000,2200000,1782000,418000,459800,7800000,2659800,EMC,338520,2079480
U099999996,L2 test,L3 test,U010,SBU MKT ISG,Q4 FY25,10000000,100000,0,9900000,5000000,4950000,50000,55000,5000000,5055000,EMC,1231398,3014802
U099999997,L2 test,L3 test,U010,SBU MKT ISG,Q4 FY25,10000000,7700000,0,2300000,4500000,1035000,3465000,3811500,5500000,8311500,EMC,4019072,8540528
U099999998,L2 test,L3 test,U010,SBU MKT ISG,Q4 FY25,10000000,7300000,0,2700000,10000000,2700000,7300000,8030000,0,18030000,EMC,3371610,6544890
U099999999,L2 test,L3 test,U010,SBU MKT ISG,Q4 FY25,10000000,4900000,0,5100000,9400000,4794000,4606000,5066600,600000,14466600,EMC,3318084,991116
IE10001168,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,IE10,CORPORATE MKT OTHER,Q3 FY25,1110682.02,244350.0444,0,866331.9756,177709.1232,138613.1161,39096.0071,43005.60781,932972.8968,220714.731,EMC,234509.4017,1144957.667
IE10001204,L2 Mktg Field Partner EMEA,L3 Mktg FP EMEA,IE10,CORPORATE MKT OTHER,Q3 FY25,5000000,3650000,0,1350000,3350000,904500,2445500,2690050,1650000,6040050,EMC,3356284.5,3224665.5
U009000052,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U009,CORPORATE MKT OTHER,Q3 FY25,8976531.84,359061.2736,0,8617470.566,5026857.83,4825783.517,201074.3132,221181.7445,3949674.01,5248039.575,Dell,577284.3532,172435.586
U009000053,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U009,CORPORATE MKT OTHER,Q3 FY25,0,0,0,0,0,0,0,0,0,0,Dell,0,0
U010001426,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q3 FY25,-2062310.29,-680562.3957,0,-1381747.894,-1959194.776,-1312660.5,-646534.2759,-711187.7035,-103115.5145,-2670382.479,EMC,-785654.6346,-423044.8033
U010001427,L2 Mktg BU Mktg,L3 Mktg Executive,U010,CORPORATE MKT OTHER,Q3 FY25,1999440.52,779781.8028,0,1219658.717,1979446.115,1207462.13,771983.9848,849182.3832,19994.4052,2828628.498,EMC,171432.0302,2685768.473
